datetime,datetime_utc,date,day,month,year,hour_index,day_of_week,price_de,price_de_lag_24,price_de_lag_48,price_de_lag_168,price_de_lag_336,price_de_avg_24,price_de_avg_168,price_at,price_at_lag_24,price_at_avg_24,price_at_avg_168,price_fr,price_fr_lag_24,price_fr_avg_24,price_fr_avg_168,load_de,load_de_lag_24,load_de_lag_48,load_de_lag_168,load_de_lag_336,load_at,load_at_lag_24,load_fr,load_fr_lag_24,gen_de,gen_de_lag_24,gen_de_lag_48,gen_de_lag_168,gen_de_lag_336,gen_at,gen_at_lag_24,gen_fr,gen_fr_lag_24,windoff_de,windoff_de_lag_24,windon_de,windon_de_lag_24,solar_de,solar_de_lag_24
2022-11-01 00:00:00+01,2022-10-31 23:00:00+00:00,2022-11-01,1,11,2022,0,1,80.65,129.38,100.49,50.59,135.71,143.19208333333333,117.65190476190476,99.94,130.59,145.30208333333334,123.92166666666668,95.34,136.77,142.51125,116.2475,48196.8225,48193.02,44750.8775,49161.9775,49605.0275,4868.0,5250.0,37450.0,38300.0,49417.49,37629.73,35941.35,50407.76,41439.65,4079.2,2991.0,40284.0,36238.0,5331.8525,2384.8325,16063.7425,6744.5025000000005,0.0,0.0
2022-11-01 01:00:00+01,2022-11-01 00:00:00+00:00,2022-11-01,1,11,2022,1,1,76.68,119.09,99.92,56.49,140.35,141.42499999999998,117.77208333333331,99.94,119.09,144.50416666666666,124.0822619047619,78.12,119.09,140.80416666666667,116.3407738095238,46933.46,44770.8675,43679.5325,48136.935,48616.67,4378.0,5124.0,34950.0,37100.0,49446.61,36597.79,34410.97,49715.33,40801.01,4027.1,2942.3,39246.0,36353.5,5206.96,2536.88,16839.04,6414.35,0.0,0.0
2022-11-01 02:00:00+01,2022-11-01 01:00:00+00:00,2022-11-01,1,11,2022,2,1,55.26,116.32,100.2,56.19,139.95,138.88083333333336,117.76654761904764,96.0,116.32,143.6575,124.24273809523812,71.83,116.32,138.95041666666663,116.40434523809525,45394.4175,43981.945,43057.145,47600.79,48231.5625,4829.0,4990.0,34700.0,36150.0,48568.35,36168.42,35040.98,49051.5,40719.62,3933.9,2940.3,39366.5,36030.0,5295.797500000001,2461.7675,17616.877500000002,5744.3775,0.0,0.0
2022-11-01 03:00:00+01,2022-11-01 02:00:00+00:00,2022-11-01,1,11,2022,3,1,37.0,114.6,98.31,67.4,150.3,135.6475,117.58559523809524,86.34,114.6,142.48,124.2522023809524,55.24,114.6,136.47708333333333,116.28958333333334,44489.575,43422.0775,42756.8425,47753.3075,48597.9875,4773.0,5022.0,33800.0,34250.0,48487.32,34852.59,33292.51,49083.27,40996.74,3766.6,2869.9,37003.5,35798.5,5410.9475,2317.105,17984.385,5127.0875,0.0,0.0
2022-11-01 04:00:00+01,2022-11-01 03:00:00+00:00,2022-11-01,1,11,2022,4,1,38.76,115.07,98.46,70.67,149.51,132.46791666666667,117.39565476190477,90.0,115.07,141.43541666666667,124.2025,56.04,115.07,134.0175,116.15529761904762,44501.185,43581.745,42594.66,49360.817500000005,50086.455,4833.0,5263.0,32900.0,32900.0,49072.56,34868.33,32905.91,50384.18,44770.29,3585.8,2988.1,34949.5,36479.0,5552.29,2176.685,18902.0375,4400.1125,0.0,0.0
2022-11-01 05:00:00+01,2022-11-01 04:00:00+00:00,2022-11-01,1,11,2022,5,1,54.63,123.45,98.98,86.88,198.47,129.60041666666666,117.20369047619047,108.03,125.38,140.7125,124.10130952380952,56.95,124.17,131.21666666666667,115.96511904761904,45730.0725,44897.79,43275.0275,53865.3425,54165.2625,5042.0,5603.0,33000.0,34300.0,51284.79,35530.89,32884.56,56586.42,50742.8,3572.6,3094.3,34377.5,38318.5,5698.16,1999.5,20510.82,3574.795,0.0,0.0
2022-11-01 06:00:00+01,2022-11-01 05:00:00+00:00,2022-11-01,1,11,2022,6,1,59.95,145.62,100.55,118.65,258.73,126.03083333333332,116.85428571428572,125.49,147.26,139.80541666666667,123.83690476190478,79.47,145.96,128.44625,115.73190476190476,48225.345,48138.3375,43962.0575,60819.3825,60590.552500000005,5285.0,6026.0,34250.0,37550.0,54527.62,38228.67,33849.9,59902.45,56326.98,3845.9,5232.3,35325.5,41188.0,5781.43,1773.57,22400.83,2975.5325000000003,0.03,0.1425
2022-11-01 07:00:00+01,2022-11-01 06:00:00+00:00,2022-11-01,1,11,2022,7,1,77.99,166.39,110.04,139.43,277.3,122.3475,116.48857142857142,115.5,166.85,137.66583333333332,123.495,84.03,166.56,125.0075,115.39214285714284,51493.305,54586.775,45244.2125,64082.3075,64360.817500000005,5619.0,6373.0,35600.0,42050.0,60537.65,40996.81,35603.8,62707.12,59664.64,4154.7,6554.7,36373.5,42680.5,5850.7775,1555.275,23553.11,2509.5725,526.6025,933.465
2022-11-01 08:00:00+01,2022-11-01 07:00:00+00:00,2022-11-01,1,11,2022,8,1,84.4,168.0,113.33,126.17,242.16,118.86416666666668,116.23994047619048,119.86,168.0,135.66,123.3932738095238,93.7,168.0,121.91166666666668,115.17386904761904,53417.8075,59053.2825,46844.19,65676.52249999999,65873.855,5812.0,6620.0,36900.0,44800.0,64160.55,44154.35,39646.96,65011.62,61315.79,4180.3,6982.5,37148.0,44393.0,5844.085,1375.875,24679.03,2081.9675,3151.3925,4602.5625
2022-11-01 09:00:00+01,2022-11-01 08:00:00+00:00,2022-11-01,1,11,2022,9,1,67.65,153.3,104.18,102.21,201.96,115.29541666666664,116.0342261904762,133.18,153.3,134.82166666666666,123.44333333333331,95.92,153.3,119.52083333333331,115.08910714285716,55792.0725,61358.47,49448.8025,66437.3175,66515.9175,5916.0,6716.0,39250.0,45800.0,67357.63,46806.74,45280.27,68128.34,62798.47,4184.9,6815.3,38368.0,45874.0,5698.735000000001,1224.8675,25708.855,1736.34,6661.5125,9220.4975
