unique_id,ds,y_hat
H1,1970-01-23 04:00:00,703.12354
H1,1970-01-23 05:00:00,635.24634
H1,1970-01-23 06:00:00,573.0281
H1,1970-01-23 07:00:00,525.7348
H1,1970-01-23 08:00:00,493.56607
H1,1970-01-23 09:00:00,472.58377
H1,1970-01-23 10:00:00,460.48767
H1,1970-01-23 11:00:00,457.838
H1,1970-01-23 12:00:00,469.4751
H1,1970-01-23 13:00:00,487.2709
H1,1970-01-23 14:00:00,527.9537
H1,1970-01-23 15:00:00,592.6049
H1,1970-01-23 16:00:00,666.60834
H1,1970-01-23 17:00:00,737.76337
H1,1970-01-23 18:00:00,796.64343
H1,1970-01-23 19:00:00,839.3859
H1,1970-01-23 20:00:00,865.61566
H1,1970-01-23 21:00:00,876.85175
H1,1970-01-23 22:00:00,875.9346
H1,1970-01-23 23:00:00,866.56824
H1,1970-01-24 00:00:00,851.1019
H1,1970-01-24 01:00:00,824.60657
H1,1970-01-24 02:00:00,786.5951
H1,1970-01-24 03:00:00,768.58655
H1,1970-01-24 04:00:00,717.18896
H1,1970-01-24 05:00:00,648.42505
H1,1970-01-24 06:00:00,585.4573
H1,1970-01-24 07:00:00,537.2746
H1,1970-01-24 08:00:00,504.1881
H1,1970-01-24 09:00:00,482.32187
H1,1970-01-24 10:00:00,469.69974
H1,1970-01-24 11:00:00,466.4813
H1,1970-01-24 12:00:00,476.40152
H1,1970-01-24 13:00:00,492.3689
H1,1970-01-24 14:00:00,530.5389
H1,1970-01-24 15:00:00,593.65857
H1,1970-01-24 16:00:00,667.2562
H1,1970-01-24 17:00:00,738.4162
H1,1970-01-24 18:00:00,797.2618
H1,1970-01-24 19:00:00,839.8522
H1,1970-01-24 20:00:00,865.7744
H1,1970-01-24 21:00:00,876.4916
H1,1970-01-24 22:00:00,874.77795
H1,1970-01-24 23:00:00,864.3665
H1,1970-01-25 00:00:00,848.0549
H1,1970-01-25 01:00:00,821.8833
H1,1970-01-25 02:00:00,783.8059
H1,1970-01-25 03:00:00,765.401
H1,1970-01-25 04:00:00,715.8886
H1,1970-01-25 05:00:00,647.6913
H1,1970-01-25 06:00:00,584.80237
H1,1970-01-25 07:00:00,536.52094
H1,1970-01-25 08:00:00,503.5268
H1,1970-01-25 09:00:00,482.07974
H1,1970-01-25 10:00:00,469.8263
H1,1970-01-25 11:00:00,466.51593
H1,1970-01-25 12:00:00,476.61575
H1,1970-01-25 13:00:00,493.39322
H1,1970-01-25 14:00:00,529.8062
H1,1970-01-25 15:00:00,591.3619
H1,1970-01-25 16:00:00,664.26245
H1,1970-01-25 17:00:00,735.64905
H1,1970-01-25 18:00:00,795.20483
H1,1970-01-25 19:00:00,838.6757
H1,1970-01-25 20:00:00,865.49316
H1,1970-01-25 21:00:00,877.0387
H1,1970-01-25 22:00:00,876.0432
H1,1970-01-25 23:00:00,866.2272
H1,1970-01-26 00:00:00,850.4952
H1,1970-01-26 01:00:00,825.1673
H1,1970-01-26 02:00:00,787.1744
H1,1970-01-26 03:00:00,768.38965
H1,1970-01-26 04:00:00,720.0401
H1,1970-01-26 05:00:00,651.84924
H1,1970-01-26 06:00:00,588.4769
H1,1970-01-26 07:00:00,539.55347
H1,1970-01-26 08:00:00,506.00836
H1,1970-01-26 09:00:00,484.19043
H1,1970-01-26 10:00:00,471.6679
H1,1970-01-26 11:00:00,467.93707
H1,1970-01-26 12:00:00,477.4086
H1,1970-01-26 13:00:00,493.9278
H1,1970-01-26 14:00:00,528.71625
H1,1970-01-26 15:00:00,589.15765
H1,1970-01-26 16:00:00,661.64417
H1,1970-01-26 17:00:00,733.2643
H1,1970-01-26 18:00:00,793.3628
H1,1970-01-26 19:00:00,837.4587
H1,1970-01-26 20:00:00,864.8695
H1,1970-01-26 21:00:00,876.9061
H1,1970-01-26 22:00:00,876.2447
H1,1970-01-26 23:00:00,866.58673
H1,1970-01-27 00:00:00,850.9982
H1,1970-01-27 01:00:00,826.26514
H1,1970-01-27 02:00:00,788.36725
H1,1970-01-27 03:00:00,769.04663
H1,1970-01-27 04:00:00,722.36316
H1,1970-01-27 05:00:00,654.4117
H1,1970-01-27 06:00:00,590.6618
H1,1970-01-27 07:00:00,541.16785
H1,1970-01-27 08:00:00,507.14383
H1,1970-01-27 09:00:00,485.04855
H1,1970-01-27 10:00:00,472.33072
H1,1970-01-27 11:00:00,468.21472
H1,1970-01-27 12:00:00,477.2119
H1,1970-01-27 13:00:00,493.75027
H1,1970-01-27 14:00:00,527.1346
H1,1970-01-27 15:00:00,586.56006
H1,1970-01-27 16:00:00,658.6368
H1,1970-01-27 17:00:00,730.5071
H1,1970-01-27 18:00:00,791.2137
H1,1970-01-27 19:00:00,836.02844
H1,1970-01-27 20:00:00,864.1459
H1,1970-01-27 21:00:00,876.8049
H1,1970-01-27 22:00:00,876.62946
H1,1970-01-27 23:00:00,867.2951
H1,1970-01-28 00:00:00,851.9831
H1,1970-01-28 01:00:00,827.86664
H1,1970-01-28 02:00:00,790.1309
H1,1970-01-28 03:00:00,770.1666
H1,1970-01-28 04:00:00,725.1442
H1,1970-01-28 05:00:00,657.4157
H1,1970-01-28 06:00:00,593.2372
H1,1970-01-28 07:00:00,543.1096
H1,1970-01-28 08:00:00,508.52246
H1,1970-01-28 09:00:00,486.04355
H1,1970-01-28 10:00:00,473.0323
H1,1970-01-28 11:00:00,468.494
H1,1970-01-28 12:00:00,476.92908
H1,1970-01-28 13:00:00,493.36185
H1,1970-01-28 14:00:00,525.4193
H1,1970-01-28 15:00:00,583.9201
H1,1970-01-28 16:00:00,655.63257
H1,1970-01-28 17:00:00,727.7485
H1,1970-01-28 18:00:00,789.04114
H1,1970-01-28 19:00:00,834.54584
H1,1970-01-28 20:00:00,863.3388
H1,1970-01-28 21:00:00,876.58875
H1,1970-01-28 22:00:00,876.86707
H1,1970-01-28 23:00:00,867.8193
H1,1970-01-29 00:00:00,852.7335
H1,1970-01-29 01:00:00,829.17633
H1,1970-01-29 02:00:00,791.6657
H1,1970-01-29 03:00:00,770.9268
H1,1970-01-29 04:00:00,727.6668
H1,1970-01-29 05:00:00,660.2242
H1,1970-01-29 06:00:00,595.6387
H1,1970-01-29 07:00:00,544.8822
H1,1970-01-29 08:00:00,509.7261
H1,1970-01-29 09:00:00,486.85657
H1,1970-01-29 10:00:00,473.54205
H1,1970-01-29 11:00:00,468.58823
H1,1970-01-29 12:00:00,476.46817
H1,1970-01-29 13:00:00,492.81522
H1,1970-01-29 14:00:00,523.62976
