unique_id,ds,y_hat
H1,1970-01-23 04:00:00,638.21857
H1,1970-01-23 05:00:00,572.2505
H1,1970-01-23 06:00:00,524.86346
H1,1970-01-23 07:00:00,490.7368
H1,1970-01-23 08:00:00,468.9165
H1,1970-01-23 09:00:00,454.30414
H1,1970-01-23 10:00:00,454.03104
H1,1970-01-23 11:00:00,463.37802
H1,1970-01-23 12:00:00,477.73376
H1,1970-01-23 13:00:00,515.81573
H1,1970-01-23 14:00:00,576.8097
H1,1970-01-23 15:00:00,645.26227
H1,1970-01-23 16:00:00,712.1
H1,1970-01-23 17:00:00,764.6635
H1,1970-01-23 18:00:00,803.5296
H1,1970-01-23 19:00:00,829.8368
H1,1970-01-23 20:00:00,845.5879
H1,1970-01-23 21:00:00,852.94006
H1,1970-01-23 22:00:00,853.4952
H1,1970-01-23 23:00:00,840.92535
H1,1970-01-24 00:00:00,812.4023
H1,1970-01-24 01:00:00,770.2581
H1,1970-01-24 02:00:00,753.4551
H1,1970-01-24 03:00:00,703.01404
H1,1970-01-24 04:00:00,638.21857
H1,1970-01-24 05:00:00,572.2505
H1,1970-01-24 06:00:00,524.86346
H1,1970-01-24 07:00:00,490.7368
H1,1970-01-24 08:00:00,468.9165
H1,1970-01-24 09:00:00,454.30414
H1,1970-01-24 10:00:00,454.03104
H1,1970-01-24 11:00:00,463.37802
H1,1970-01-24 12:00:00,477.73376
H1,1970-01-24 13:00:00,515.81573
H1,1970-01-24 14:00:00,576.8097
H1,1970-01-24 15:00:00,645.26227
H1,1970-01-24 16:00:00,712.1
H1,1970-01-24 17:00:00,764.6635
H1,1970-01-24 18:00:00,803.5296
H1,1970-01-24 19:00:00,829.8368
H1,1970-01-24 20:00:00,845.5879
H1,1970-01-24 21:00:00,852.94006
H1,1970-01-24 22:00:00,853.4952
H1,1970-01-24 23:00:00,840.92535
H1,1970-01-25 00:00:00,812.4023
H1,1970-01-25 01:00:00,770.2581
H1,1970-01-25 02:00:00,753.4551
H1,1970-01-25 03:00:00,703.01404
H1,1970-01-25 04:00:00,638.21857
H1,1970-01-25 05:00:00,572.2505
H1,1970-01-25 06:00:00,524.86346
H1,1970-01-25 07:00:00,490.7368
H1,1970-01-25 08:00:00,468.9165
H1,1970-01-25 09:00:00,454.30414
H1,1970-01-25 10:00:00,454.03104
H1,1970-01-25 11:00:00,463.37802
H1,1970-01-25 12:00:00,477.73376
H1,1970-01-25 13:00:00,515.81573
H1,1970-01-25 14:00:00,576.8097
H1,1970-01-25 15:00:00,645.26227
H1,1970-01-25 16:00:00,712.1
H1,1970-01-25 17:00:00,764.6635
H1,1970-01-25 18:00:00,803.5296
H1,1970-01-25 19:00:00,829.8368
H1,1970-01-25 20:00:00,845.5879
H1,1970-01-25 21:00:00,852.94006
H1,1970-01-25 22:00:00,853.4952
H1,1970-01-25 23:00:00,840.92535
H1,1970-01-26 00:00:00,812.4023
H1,1970-01-26 01:00:00,770.2581
H1,1970-01-26 02:00:00,753.4551
H1,1970-01-26 03:00:00,703.01404
H1,1970-01-26 04:00:00,638.21857
H1,1970-01-26 05:00:00,572.2505
H1,1970-01-26 06:00:00,524.86346
H1,1970-01-26 07:00:00,490.7368
H1,1970-01-26 08:00:00,468.9165
H1,1970-01-26 09:00:00,454.30414
H1,1970-01-26 10:00:00,454.03104
H1,1970-01-26 11:00:00,463.37802
H1,1970-01-26 12:00:00,477.73376
H1,1970-01-26 13:00:00,515.81573
H1,1970-01-26 14:00:00,576.8097
H1,1970-01-26 15:00:00,645.26227
H1,1970-01-26 16:00:00,712.1
H1,1970-01-26 17:00:00,764.6635
H1,1970-01-26 18:00:00,803.5296
