unique_id,ds,y_hat
H1,1970-01-23 04:00:00,797.35205
H1,1970-01-23 05:00:00,749.6513
H1,1970-01-23 06:00:00,743.4048
H1,1970-01-23 07:00:00,685.0037
H1,1970-01-23 08:00:00,622.7347
H1,1970-01-23 09:00:00,552.9852
H1,1970-01-23 10:00:00,504.83746
H1,1970-01-23 11:00:00,467.23514
H1,1970-01-23 12:00:00,449.98898
H1,1970-01-23 13:00:00,427.0561
H1,1970-01-23 14:00:00,430.0062
H1,1970-01-23 15:00:00,436.13406
H1,1970-01-23 16:00:00,449.8895
H1,1970-01-23 17:00:00,501.94736
H1,1970-01-23 18:00:00,545.0354
H1,1970-01-23 19:00:00,652.8343
H1,1970-01-23 20:00:00,725.6439
H1,1970-01-23 21:00:00,777.0514
H1,1970-01-23 22:00:00,813.2958
H1,1970-01-23 23:00:00,842.8823
H1,1970-01-24 00:00:00,848.7826
H1,1970-01-24 01:00:00,863.36255
H1,1970-01-24 02:00:00,847.92505
H1,1970-01-24 03:00:00,839.24695
H1,1970-01-24 04:00:00,798.85205
H1,1970-01-24 05:00:00,770.0263
H1,1970-01-24 06:00:00,752.8792
H1,1970-01-24 07:00:00,691.8901
H1,1970-01-24 08:00:00,633.9534
H1,1970-01-24 09:00:00,579.8743
H1,1970-01-24 10:00:00,517.0857
H1,1970-01-24 11:00:00,483.52625
H1,1970-01-24 12:00:00,468.1531
H1,1970-01-24 13:00:00,444.40756
H1,1970-01-24 14:00:00,439.27075
H1,1970-01-24 15:00:00,451.37375
H1,1970-01-24 16:00:00,453.40442
H1,1970-01-24 17:00:00,491.18604
H1,1970-01-24 18:00:00,561.6296
H1,1970-01-24 19:00:00,635.7877
H1,1970-01-24 20:00:00,712.913
H1,1970-01-24 21:00:00,765.94165
H1,1970-01-24 22:00:00,807.0803
H1,1970-01-24 23:00:00,831.82074
H1,1970-01-25 00:00:00,852.59283
H1,1970-01-25 01:00:00,861.28357
H1,1970-01-25 02:00:00,845.4404
H1,1970-01-25 03:00:00,829.32446
H1,1970-01-25 04:00:00,812.5685
H1,1970-01-25 05:00:00,775.95715
H1,1970-01-25 06:00:00,749.06555
H1,1970-01-25 07:00:00,706.83673
H1,1970-01-25 08:00:00,630.2184
H1,1970-01-25 09:00:00,576.3164
H1,1970-01-25 10:00:00,527.6276
H1,1970-01-25 11:00:00,486.7785
H1,1970-01-25 12:00:00,458.9738
H1,1970-01-25 13:00:00,440.6254
H1,1970-01-25 14:00:00,439.28317
H1,1970-01-25 15:00:00,459.3777
H1,1970-01-25 16:00:00,466.0652
H1,1970-01-25 17:00:00,520.3522
H1,1970-01-25 18:00:00,580.4371
H1,1970-01-25 19:00:00,671.888
H1,1970-01-25 20:00:00,738.62506
H1,1970-01-25 21:00:00,798.295
H1,1970-01-25 22:00:00,826.9997
H1,1970-01-25 23:00:00,862.31903
H1,1970-01-26 00:00:00,872.45013
H1,1970-01-26 01:00:00,867.8766
H1,1970-01-26 02:00:00,866.44495
H1,1970-01-26 03:00:00,858.53766
H1,1970-01-26 04:00:00,838.69
H1,1970-01-26 05:00:00,776.0799
H1,1970-01-26 06:00:00,777.8374
H1,1970-01-26 07:00:00,710.5566
H1,1970-01-26 08:00:00,647.8424
H1,1970-01-26 09:00:00,572.9736
H1,1970-01-26 10:00:00,536.8718
H1,1970-01-26 11:00:00,501.44495
H1,1970-01-26 12:00:00,478.68143
H1,1970-01-26 13:00:00,476.5559
H1,1970-01-26 14:00:00,476.43802
H1,1970-01-26 15:00:00,477.91443
H1,1970-01-26 16:00:00,491.30865
H1,1970-01-26 17:00:00,530.11804
H1,1970-01-26 18:00:00,590.2908
H1,1970-01-26 19:00:00,672.70087
H1,1970-01-26 20:00:00,748.5515
H1,1970-01-26 21:00:00,804.52844
H1,1970-01-26 22:00:00,839.41077
H1,1970-01-26 23:00:00,855.28143
H1,1970-01-27 00:00:00,855.29755
H1,1970-01-27 01:00:00,841.64246
H1,1970-01-27 02:00:00,830.1696
H1,1970-01-27 03:00:00,827.656
H1,1970-01-27 04:00:00,797.1719
