unique_id,ds,y_hat
H1,1970-01-30 04:00:00,620.2135
H1,1970-01-30 05:00:00,555.3814
H1,1970-01-30 06:00:00,510.38382
H1,1970-01-30 07:00:00,477.62396
H1,1970-01-30 08:00:00,456.3118
H1,1970-01-30 09:00:00,442.5338
H1,1970-01-30 10:00:00,441.6188
H1,1970-01-30 11:00:00,452.1521
H1,1970-01-30 12:00:00,464.33984
H1,1970-01-30 13:00:00,502.70694
H1,1970-01-30 14:00:00,561.4148
H1,1970-01-30 15:00:00,629.3032
H1,1970-01-30 16:00:00,695.37286
H1,1970-01-30 17:00:00,748.9179
H1,1970-01-30 18:00:00,788.1023
H1,1970-01-30 19:00:00,814.3327
H1,1970-01-30 20:00:00,827.40625
H1,1970-01-30 21:00:00,831.86945
H1,1970-01-30 22:00:00,831.16486
H1,1970-01-30 23:00:00,819.0236
H1,1970-01-31 00:00:00,790.85205
H1,1970-01-31 01:00:00,751.3389
H1,1970-01-31 02:00:00,734.27716
H1,1970-01-31 03:00:00,684.04407
H1,1970-01-31 04:00:00,620.2135
H1,1970-01-31 05:00:00,555.3814
H1,1970-01-31 06:00:00,510.38382
H1,1970-01-31 07:00:00,477.62396
H1,1970-01-31 08:00:00,456.3118
H1,1970-01-31 09:00:00,442.5338
H1,1970-01-31 10:00:00,441.6188
H1,1970-01-31 11:00:00,452.1521
H1,1970-01-31 12:00:00,464.33984
H1,1970-01-31 13:00:00,502.70694
H1,1970-01-31 14:00:00,561.4148
H1,1970-01-31 15:00:00,629.3032
H1,1970-01-31 16:00:00,695.37286
H1,1970-01-31 17:00:00,748.9179
H1,1970-01-31 18:00:00,788.1023
H1,1970-01-31 19:00:00,814.3327
H1,1970-01-31 20:00:00,827.40625
H1,1970-01-31 21:00:00,831.86945
H1,1970-01-31 22:00:00,831.16486
H1,1970-01-31 23:00:00,819.0236
H1,1970-02-01 00:00:00,790.85205
H1,1970-02-01 01:00:00,751.3389
H1,1970-02-01 02:00:00,734.27716
H1,1970-02-01 03:00:00,684.04407
H10,1970-01-30 04:00:00,465.82413
H10,1970-01-30 05:00:00,459.67557
H10,1970-01-30 06:00:00,446.4142
H10,1970-01-30 07:00:00,429.6271
H10,1970-01-30 08:00:00,417.0687
H10,1970-01-30 09:00:00,409.6985
H10,1970-01-30 10:00:00,404.3086
H10,1970-01-30 11:00:00,403.69635
H10,1970-01-30 12:00:00,402.90833
H10,1970-01-30 13:00:00,405.94977
H10,1970-01-30 14:00:00,419.87546
H10,1970-01-30 15:00:00,428.9109
H10,1970-01-30 16:00:00,440.1054
H10,1970-01-30 17:00:00,447.20438
H10,1970-01-30 18:00:00,457.54172
H10,1970-01-30 19:00:00,466.56912
H10,1970-01-30 20:00:00,471.6556
H10,1970-01-30 21:00:00,475.32452
H10,1970-01-30 22:00:00,476.57333
H10,1970-01-30 23:00:00,482.30582
H10,1970-01-31 00:00:00,484.9502
H10,1970-01-31 01:00:00,485.7082
H10,1970-01-31 02:00:00,480.7541
H10,1970-01-31 03:00:00,474.29944
H10,1970-01-31 04:00:00,465.82413
H10,1970-01-31 05:00:00,459.67557
H10,1970-01-31 06:00:00,446.4142
H10,1970-01-31 07:00:00,429.6271
H10,1970-01-31 08:00:00,417.0687
H10,1970-01-31 09:00:00,409.6985
H10,1970-01-31 10:00:00,404.3086
H10,1970-01-31 11:00:00,403.69635
H10,1970-01-31 12:00:00,402.90833
H10,1970-01-31 13:00:00,405.94977
H10,1970-01-31 14:00:00,419.87546
H10,1970-01-31 15:00:00,428.9109
H10,1970-01-31 16:00:00,440.1054
H10,1970-01-31 17:00:00,447.20438
H10,1970-01-31 18:00:00,457.54172
H10,1970-01-31 19:00:00,466.56912
H10,1970-01-31 20:00:00,471.6556
H10,1970-01-31 21:00:00,475.32452
H10,1970-01-31 22:00:00,476.57333
H10,1970-01-31 23:00:00,482.30582
H10,1970-02-01 00:00:00,484.9502
H10,1970-02-01 01:00:00,485.7082
H10,1970-02-01 02:00:00,480.7541
H10,1970-02-01 03:00:00,474.29944
H100,1970-01-30 04:00:00,886.39844
H100,1970-01-30 05:00:00,820.8794
H100,1970-01-30 06:00:00,813.1436
H100,1970-01-30 07:00:00,816.73236
H100,1970-01-30 08:00:00,817.9194
H100,1970-01-30 09:00:00,818.18317
H100,1970-01-30 10:00:00,825.23114
H100,1970-01-30 11:00:00,859.19464
H100,1970-01-30 12:00:00,955.11456
H100,1970-01-30 13:00:00,1102.0647
H100,1970-01-30 14:00:00,1289.3528
H100,1970-01-30 15:00:00,1437.3505
H100,1970-01-30 16:00:00,1523.6611
H100,1970-01-30 17:00:00,1588.7313
H100,1970-01-30 18:00:00,1619.3485
H100,1970-01-30 19:00:00,1654.9407
H100,1970-01-30 20:00:00,1676.4608
H100,1970-01-30 21:00:00,1682.95
H100,1970-01-30 22:00:00,1686.1945
H100,1970-01-30 23:00:00,1654.0814
H100,1970-01-31 00:00:00,1605.7988
H100,1970-01-31 01:00:00,1501.457
H100,1970-01-31 02:00:00,1315.4994
H100,1970-01-31 03:00:00,1073.2504
H100,1970-01-31 04:00:00,886.39844
H100,1970-01-31 05:00:00,820.8794
H100,1970-01-31 06:00:00,813.1436
H100,1970-01-31 07:00:00,816.73236
H100,1970-01-31 08:00:00,817.9194
H100,1970-01-31 09:00:00,818.18317
H100,1970-01-31 10:00:00,825.23114
H100,1970-01-31 11:00:00,859.19464
H100,1970-01-31 12:00:00,955.11456
H100,1970-01-31 13:00:00,1102.0647
H100,1970-01-31 14:00:00,1289.3528
H100,1970-01-31 15:00:00,1437.3505
H100,1970-01-31 16:00:00,1523.6611
H100,1970-01-31 17:00:00,1588.7313
H100,1970-01-31 18:00:00,1619.3485
H100,1970-01-31 19:00:00,1654.9407
H100,1970-01-31 20:00:00,1676.4608
H100,1970-01-31 21:00:00,1682.95
H100,1970-01-31 22:00:00,1686.1945
H100,1970-01-31 23:00:00,1654.0814
H100,1970-02-01 00:00:00,1605.7988
H100,1970-02-01 01:00:00,1501.457
H100,1970-02-01 02:00:00,1315.4994
H100,1970-02-01 03:00:00,1073.2504
H101,1970-01-30 04:00:00,2163.0876
H101,1970-01-30 05:00:00,2146.6118
H101,1970-01-30 06:00:00,2124.9727
H101,1970-01-30 07:00:00,2010.7035
H101,1970-01-30 08:00:00,1928.1445
H101,1970-01-30 09:00:00,1892.4066
H101,1970-01-30 10:00:00,1864.6643
H101,1970-01-30 11:00:00,1859.0488
H101,1970-01-30 12:00:00,1867.7258
