unique_id,ds,y_hat
H1,1970-01-30 04:00:00,599.87714
H1,1970-01-30 05:00:00,535.1106
H1,1970-01-30 06:00:00,492.69775
H1,1970-01-30 07:00:00,458.47858
H1,1970-01-30 08:00:00,433.04303
H1,1970-01-30 09:00:00,418.69598
H1,1970-01-30 10:00:00,413.63538
H1,1970-01-30 11:00:00,425.68256
H1,1970-01-30 12:00:00,433.354
H1,1970-01-30 13:00:00,474.0841
H1,1970-01-30 14:00:00,535.26105
H1,1970-01-30 15:00:00,608.76917
H1,1970-01-30 16:00:00,680.6441
H1,1970-01-30 17:00:00,741.88257
H1,1970-01-30 18:00:00,783.6853
H1,1970-01-30 19:00:00,810.09534
H1,1970-01-30 20:00:00,823.4004
H1,1970-01-30 21:00:00,828.59406
H1,1970-01-30 22:00:00,831.62866
H1,1970-01-30 23:00:00,826.578
H1,1970-01-31 00:00:00,808.09357
H1,1970-01-31 01:00:00,771.691
H1,1970-01-31 02:00:00,741.979
H1,1970-01-31 03:00:00,673.0538
H1,1970-01-31 04:00:00,596.1395
H1,1970-01-31 05:00:00,522.65454
H1,1970-01-31 06:00:00,479.08722
H1,1970-01-31 07:00:00,446.90875
H1,1970-01-31 08:00:00,425.7067
H1,1970-01-31 09:00:00,414.18658
H1,1970-01-31 10:00:00,411.84396
H1,1970-01-31 11:00:00,426.32535
H1,1970-01-31 12:00:00,435.20245
H1,1970-01-31 13:00:00,477.3517
H1,1970-01-31 14:00:00,539.3244
H1,1970-01-31 15:00:00,612.76495
H1,1970-01-31 16:00:00,687.0244
H1,1970-01-31 17:00:00,752.6356
H1,1970-01-31 18:00:00,797.5754
H1,1970-01-31 19:00:00,823.9369
H1,1970-01-31 20:00:00,836.6084
H1,1970-01-31 21:00:00,839.63513
H1,1970-01-31 22:00:00,839.9314
H1,1970-01-31 23:00:00,832.3441
H1,1970-02-01 00:00:00,813.07574
H1,1970-02-01 01:00:00,775.1058
H1,1970-02-01 02:00:00,744.4075
