unique_id,ds,y_hat
H1,1970-01-23 04:00:00,700.60535
H1,1970-01-23 05:00:00,634.4137
H1,1970-01-23 06:00:00,569.6067
H1,1970-01-23 07:00:00,524.2994
H1,1970-01-23 08:00:00,493.81927
H1,1970-01-23 09:00:00,472.88467
H1,1970-01-23 10:00:00,461.24493
H1,1970-01-23 11:00:00,462.70465
H1,1970-01-23 12:00:00,472.91394
H1,1970-01-23 13:00:00,488.27985
H1,1970-01-23 14:00:00,527.94025
H1,1970-01-23 15:00:00,591.1456
H1,1970-01-23 16:00:00,665.7098
H1,1970-01-23 17:00:00,737.3658
H1,1970-01-23 18:00:00,795.37384
H1,1970-01-23 19:00:00,837.729
H1,1970-01-23 20:00:00,862.79987
H1,1970-01-23 21:00:00,873.76697
H1,1970-01-23 22:00:00,874.05914
H1,1970-01-23 23:00:00,865.12384
H1,1970-01-24 00:00:00,848.54486
H1,1970-01-24 01:00:00,818.49695
H1,1970-01-24 02:00:00,778.2477
H1,1970-01-24 03:00:00,761.3914
H1,1970-01-24 04:00:00,706.66095
H1,1970-01-24 05:00:00,639.79156
H1,1970-01-24 06:00:00,574.8839
H1,1970-01-24 07:00:00,529.56573
H1,1970-01-24 08:00:00,499.1638
H1,1970-01-24 09:00:00,478.38126
H1,1970-01-24 10:00:00,466.5381
H1,1970-01-24 11:00:00,467.51346
H1,1970-01-24 12:00:00,477.94315
H1,1970-01-24 13:00:00,494.14288
H1,1970-01-24 14:00:00,535.48706
H1,1970-01-24 15:00:00,598.7008
H1,1970-01-24 16:00:00,672.0549
H1,1970-01-24 17:00:00,742.4041
H1,1970-01-24 18:00:00,799.356
H1,1970-01-24 19:00:00,840.719
H1,1970-01-24 20:00:00,865.0496
H1,1970-01-24 21:00:00,875.6892
H1,1970-01-24 22:00:00,875.7715
H1,1970-01-24 23:00:00,866.6012
H1,1970-01-25 00:00:00,849.70905
H1,1970-01-25 01:00:00,818.909
H1,1970-01-25 02:00:00,778.8253
H1,1970-01-25 03:00:00,761.8165
H1,1970-01-25 04:00:00,706.40155
H1,1970-01-25 05:00:00,639.2838
H1,1970-01-25 06:00:00,574.76196
H1,1970-01-25 07:00:00,529.877
H1,1970-01-25 08:00:00,499.76404
H1,1970-01-25 09:00:00,479.18356
H1,1970-01-25 10:00:00,467.46048
H1,1970-01-25 11:00:00,468.56802
H1,1970-01-25 12:00:00,479.16324
H1,1970-01-25 13:00:00,495.9944
H1,1970-01-25 14:00:00,538.5736
H1,1970-01-25 15:00:00,602.18896
H1,1970-01-25 16:00:00,675.3085
H1,1970-01-25 17:00:00,745.05145
H1,1970-01-25 18:00:00,801.40894
H1,1970-01-25 19:00:00,842.144
H1,1970-01-25 20:00:00,865.94086
H1,1970-01-25 21:00:00,876.2447
H1,1970-01-25 22:00:00,876.0491
H1,1970-01-25 23:00:00,866.6293
H1,1970-01-26 00:00:00,849.45557
H1,1970-01-26 01:00:00,817.9925
H1,1970-01-26 02:00:00,778.3468
H1,1970-01-26 03:00:00,760.9173
H1,1970-01-26 04:00:00,704.7882
H1,1970-01-26 05:00:00,637.4249
H1,1970-01-26 06:00:00,573.41425
H1,1970-01-26 07:00:00,529.07556
H1,1970-01-26 08:00:00,499.31506
H1,1970-01-26 09:00:00,478.98508
H1,1970-01-26 10:00:00,467.5454
H1,1970-01-26 11:00:00,469.02832
H1,1970-01-26 12:00:00,479.75183
H1,1970-01-26 13:00:00,497.11276
H1,1970-01-26 14:00:00,540.6569
H1,1970-01-26 15:00:00,604.6711
H1,1970-01-26 16:00:00,677.833
H1,1970-01-26 17:00:00,747.17694
H1,1970-01-26 18:00:00,803.0512
H1,1970-01-26 19:00:00,843.2339
H1,1970-01-26 20:00:00,866.5336
H1,1970-01-26 21:00:00,876.48773
H1,1970-01-26 22:00:00,875.9902
H1,1970-01-26 23:00:00,866.31573
H1,1970-01-27 00:00:00,848.8633
H1,1970-01-27 01:00:00,816.7635
H1,1970-01-27 02:00:00,777.66223
H1,1970-01-27 03:00:00,759.6515
H1,1970-01-27 04:00:00,702.8589
H1,1970-01-27 05:00:00,635.2637
H1,1970-01-27 06:00:00,571.80457
H1,1970-01-27 07:00:00,528.02826
H1,1970-01-27 08:00:00,498.62833
H1,1970-01-27 09:00:00,478.5589
H1,1970-01-27 10:00:00,467.44623
H1,1970-01-27 11:00:00,469.35696
H1,1970-01-27 12:00:00,480.1885
H1,1970-01-27 13:00:00,498.0632
H1,1970-01-27 14:00:00,542.47614
H1,1970-01-27 15:00:00,606.87415
H1,1970-01-27 16:00:00,680.1366
H1,1970-01-27 17:00:00,749.1323
H1,1970-01-27 18:00:00,804.5574
H1,1970-01-27 19:00:00,844.21387
H1,1970-01-27 20:00:00,867.0363
H1,1970-01-27 21:00:00,876.64484
H1,1970-01-27 22:00:00,875.8454
H1,1970-01-27 23:00:00,865.9211
H1,1970-01-28 00:00:00,848.19025
H1,1970-01-28 01:00:00,815.47095
H1,1970-01-28 02:00:00,776.9756
H1,1970-01-28 03:00:00,758.2526
H1,1970-01-28 04:00:00,700.85223
H1,1970-01-28 05:00:00,633.03845
H1,1970-01-28 06:00:00,570.1461
H1,1970-01-28 07:00:00,526.9249
H1,1970-01-28 08:00:00,497.87958
H1,1970-01-28 09:00:00,478.07053
H1,1970-01-28 10:00:00,467.29782
H1,1970-01-28 11:00:00,469.64313
H1,1970-01-28 12:00:00,480.57068
H1,1970-01-28 13:00:00,498.96945
H1,1970-01-28 14:00:00,544.20917
H1,1970-01-28 15:00:00,608.98126
H1,1970-01-28 16:00:00,682.35095
H1,1970-01-28 17:00:00,751.00934
H1,1970-01-28 18:00:00,805.99805
H1,1970-01-28 19:00:00,845.1396
H1,1970-01-28 20:00:00,867.4978
H1,1970-01-28 21:00:00,876.7669
H1,1970-01-28 22:00:00,875.6693
H1,1970-01-28 23:00:00,865.50055
H1,1970-01-29 00:00:00,847.4892
H1,1970-01-29 01:00:00,814.16223
H1,1970-01-29 02:00:00,776.3235
H1,1970-01-29 03:00:00,756.7644
