unique_id,ds,y_hat
H1,1970-01-30 04:00:00,614.17645
H1,1970-01-30 05:00:00,541.41406
H1,1970-01-30 06:00:00,504.2158
H1,1970-01-30 07:00:00,475.1153
H1,1970-01-30 08:00:00,453.99097
H1,1970-01-30 09:00:00,443.79535
H1,1970-01-30 10:00:00,442.23337
H1,1970-01-30 11:00:00,459.5344
H1,1970-01-30 12:00:00,467.34924
H1,1970-01-30 13:00:00,511.01074
H1,1970-01-30 14:00:00,569.0886
H1,1970-01-30 15:00:00,641.8698
H1,1970-01-30 16:00:00,718.939
H1,1970-01-30 17:00:00,784.4562
H1,1970-01-30 18:00:00,830.3103
H1,1970-01-30 19:00:00,859.34265
H1,1970-01-30 20:00:00,867.43933
H1,1970-01-30 21:00:00,863.3053
H1,1970-01-30 22:00:00,860.099
H1,1970-01-30 23:00:00,846.9977
H1,1970-01-31 00:00:00,821.2236
H1,1970-01-31 01:00:00,786.2454
H1,1970-01-31 02:00:00,765.63196
H1,1970-01-31 03:00:00,708.80554
H1,1970-01-31 04:00:00,637.7547
H1,1970-01-31 05:00:00,563.23364
H1,1970-01-31 06:00:00,523.0751
H1,1970-01-31 07:00:00,490.64267
H1,1970-01-31 08:00:00,467.83154
H1,1970-01-31 09:00:00,455.1593
H1,1970-01-31 10:00:00,452.6525
H1,1970-01-31 11:00:00,469.01578
H1,1970-01-31 12:00:00,475.9175
H1,1970-01-31 13:00:00,518.547
H1,1970-01-31 14:00:00,575.47314
H1,1970-01-31 15:00:00,647.40295
H1,1970-01-31 16:00:00,724.97015
H1,1970-01-31 17:00:00,791.16833
H1,1970-01-31 18:00:00,836.32355
H1,1970-01-31 19:00:00,863.38654
H1,1970-01-31 20:00:00,869.41156
H1,1970-01-31 21:00:00,862.2986
H1,1970-01-31 22:00:00,856.5915
H1,1970-01-31 23:00:00,841.6742
H1,1970-02-01 00:00:00,817.8289
H1,1970-02-01 01:00:00,783.07837
H1,1970-02-01 02:00:00,763.18744
H1,1970-02-01 03:00:00,706.4968
H10,1970-01-30 04:00:00,458.90378
H10,1970-01-30 05:00:00,447.5695
H10,1970-01-30 06:00:00,432.237
H10,1970-01-30 07:00:00,413.11572
H10,1970-01-30 08:00:00,399.67554
H10,1970-01-30 09:00:00,392.32385
H10,1970-01-30 10:00:00,389.9864
H10,1970-01-30 11:00:00,388.4257
H10,1970-01-30 12:00:00,389.28333
H10,1970-01-30 13:00:00,388.5887
H10,1970-01-30 14:00:00,415.72046
H10,1970-01-30 15:00:00,411.75357
H10,1970-01-30 16:00:00,421.85785
H10,1970-01-30 17:00:00,432.27924
H10,1970-01-30 18:00:00,437.9909
H10,1970-01-30 19:00:00,442.32565
H10,1970-01-30 20:00:00,446.35574
H10,1970-01-30 21:00:00,449.32324
H10,1970-01-30 22:00:00,453.37198
H10,1970-01-30 23:00:00,456.31546
H10,1970-01-31 00:00:00,456.348
H10,1970-01-31 01:00:00,461.27386
H10,1970-01-31 02:00:00,457.6613
H10,1970-01-31 03:00:00,451.0302
H10,1970-01-31 04:00:00,441.9503
H10,1970-01-31 05:00:00,436.3856
H10,1970-01-31 06:00:00,424.0805
H10,1970-01-31 07:00:00,407.524
H10,1970-01-31 08:00:00,395.63724
H10,1970-01-31 09:00:00,390.06525
H10,1970-01-31 10:00:00,387.93927
H10,1970-01-31 11:00:00,387.02353
H10,1970-01-31 12:00:00,388.23816
H10,1970-01-31 13:00:00,387.41513
H10,1970-01-31 14:00:00,415.11493
H10,1970-01-31 15:00:00,411.3352
H10,1970-01-31 16:00:00,421.26474
H10,1970-01-31 17:00:00,431.1348
H10,1970-01-31 18:00:00,437.62723
H10,1970-01-31 19:00:00,441.46976
H10,1970-01-31 20:00:00,445.44376
H10,1970-01-31 21:00:00,447.6075
H10,1970-01-31 22:00:00,450.18887
H10,1970-01-31 23:00:00,454.46933
H10,1970-02-01 00:00:00,454.5946
H10,1970-02-01 01:00:00,459.2784
H10,1970-02-01 02:00:00,455.99207
H10,1970-02-01 03:00:00,449.1376
H100,1970-01-30 04:00:00,858.92786
H100,1970-01-30 05:00:00,692.4368
H100,1970-01-30 06:00:00,664.06177
H100,1970-01-30 07:00:00,651.512
H100,1970-01-30 08:00:00,639.6297
H100,1970-01-30 09:00:00,638.1294
H100,1970-01-30 10:00:00,641.57776
H100,1970-01-30 11:00:00,788.47034
H100,1970-01-30 12:00:00,1137.4464
H100,1970-01-30 13:00:00,1173.8865
H100,1970-01-30 14:00:00,1164.1378
H100,1970-01-30 15:00:00,1213.8094
H100,1970-01-30 16:00:00,1235.4935
H100,1970-01-30 17:00:00,1208.0623
H100,1970-01-30 18:00:00,1207.9802
H100,1970-01-30 19:00:00,1213.1024
H100,1970-01-30 20:00:00,1217.4084
H100,1970-01-30 21:00:00,1187.1677
H100,1970-01-30 22:00:00,1205.9277
H100,1970-01-30 23:00:00,1209.8811
H100,1970-01-31 00:00:00,1190.4863
H100,1970-01-31 01:00:00,1187.3746
H100,1970-01-31 02:00:00,1149.181
H100,1970-01-31 03:00:00,1015.96515
H100,1970-01-31 04:00:00,822.5517
H100,1970-01-31 05:00:00,650.5267
H100,1970-01-31 06:00:00,631.27216
H100,1970-01-31 07:00:00,626.13416
H100,1970-01-31 08:00:00,618.8895
H100,1970-01-31 09:00:00,620.91016
H100,1970-01-31 10:00:00,628.4216
H100,1970-01-31 11:00:00,780.5454
H100,1970-01-31 12:00:00,1140.96
H100,1970-01-31 13:00:00,1175.466
H100,1970-01-31 14:00:00,1160.9386
H100,1970-01-31 15:00:00,1209.8998
H100,1970-01-31 16:00:00,1228.9037
H100,1970-01-31 17:00:00,1198.8885
H100,1970-01-31 18:00:00,1197.845
H100,1970-01-31 19:00:00,1203.3228
H100,1970-01-31 20:00:00,1208.6896
H100,1970-01-31 21:00:00,1175.2134
H100,1970-01-31 22:00:00,1196.4731
H100,1970-01-31 23:00:00,1201.2789
H100,1970-02-01 00:00:00,1180.2136
H100,1970-02-01 01:00:00,1176.9827
H100,1970-02-01 02:00:00,1135.4006
H100,1970-02-01 03:00:00,1010.5361
H101,1970-01-30 04:00:00,2178.6226
H101,1970-01-30 05:00:00,2232.787
H101,1970-01-30 06:00:00,2129.6733
H101,1970-01-30 07:00:00,2091.0786
H101,1970-01-30 08:00:00,2105.6646
H101,1970-01-30 09:00:00,2078.2039
H101,1970-01-30 10:00:00,2038.0992
H101,1970-01-30 11:00:00,2070.1643
H101,1970-01-30 12:00:00,2102.8726
H101,1970-01-30 13:00:00,2090.8528
H101,1970-01-30 14:00:00,2076.1536
H101,1970-01-30 15:00:00,2103.9019
H101,1970-01-30 16:00:00,2159.5784
H101,1970-01-30 17:00:00,2194.2844
H101,1970-01-30 18:00:00,2183.259
H101,1970-01-30 19:00:00,2282.9082
H101,1970-01-30 20:00:00,2340.8796
H101,1970-01-30 21:00:00,2465.3179
H101,1970-01-30 22:00:00,2579.0388
H101,1970-01-30 23:00:00,2606.746
H101,1970-01-31 00:00:00,2580.9626
H101,1970-01-31 01:00:00,2580.6533
H101,1970-01-31 02:00:00,2513.331
H101,1970-01-31 03:00:00,2540.9897
H101,1970-01-31 04:00:00,2455.3496
H101,1970-01-31 05:00:00,2441.2842
H101,1970-01-31 06:00:00,2302.8545
H101,1970-01-31 07:00:00,2222.5513
H101,1970-01-31 08:00:00,2215.272
H101,1970-01-31 09:00:00,2164.7449
H101,1970-01-31 10:00:00,2120.3677
H101,1970-01-31 11:00:00,2132.8064
H101,1970-01-31 12:00:00,2167.0273
H101,1970-01-31 13:00:00,2135.5137
H101,1970-01-31 14:00:00,2096.9421
H101,1970-01-31 15:00:00,2124.7537
H101,1970-01-31 16:00:00,2158.5354
H101,1970-01-31 17:00:00,2213.7244
H101,1970-01-31 18:00:00,2196.1257
H101,1970-01-31 19:00:00,2282.9265
H101,1970-01-31 20:00:00,2341.0146
H101,1970-01-31 21:00:00,2462.3552
H101,1970-01-31 22:00:00,2550.3054
H101,1970-01-31 23:00:00,2584.9543
H101,1970-02-01 00:00:00,2576.0562
H101,1970-02-01 01:00:00,2573.145
H101,1970-02-01 02:00:00,2524.7532
H101,1970-02-01 03:00:00,2538.7344
H102,1970-01-30 04:00:00,2282.3625
H102,1970-01-30 05:00:00,2160.7686
H102,1970-01-30 06:00:00,1974.6067
H102,1970-01-30 07:00:00,1822.6187
H102,1970-01-30 08:00:00,1594.654
H102,1970-01-30 09:00:00,1436.0852
H102,1970-01-30 10:00:00,1348.244
H102,1970-01-30 11:00:00,1346.9768
H102,1970-01-30 12:00:00,1328.3202
H102,1970-01-30 13:00:00,1435.5325
H102,1970-01-30 14:00:00,1599.0138
H102,1970-01-30 15:00:00,1787.6044
H102,1970-01-30 16:00:00,1977.9196
H102,1970-01-30 17:00:00,2047.8114
H102,1970-01-30 18:00:00,2160.319
H102,1970-01-30 19:00:00,2256.8926
H102,1970-01-30 20:00:00,2143.7231
H102,1970-01-30 21:00:00,2246.3176
H102,1970-01-30 22:00:00,2281.6316
H102,1970-01-30 23:00:00,2247.2356
H102,1970-01-31 00:00:00,2209.7493
H102,1970-01-31 01:00:00,2264.7922
H102,1970-01-31 02:00:00,2264.9062
H102,1970-01-31 03:00:00,2188.3938
H102,1970-01-31 04:00:00,2108.337
H102,1970-01-31 05:00:00,2046.3142
H102,1970-01-31 06:00:00,1899.8015
H102,1970-01-31 07:00:00,1812.0322
H102,1970-01-31 08:00:00,1550.6511
H102,1970-01-31 09:00:00,1435.7485
H102,1970-01-31 10:00:00,1356.4292
H102,1970-01-31 11:00:00,1363.1497
H102,1970-01-31 12:00:00,1359.6133
H102,1970-01-31 13:00:00,1481.3474
H102,1970-01-31 14:00:00,1635.2815
H102,1970-01-31 15:00:00,1825.8319
H102,1970-01-31 16:00:00,1991.9255
H102,1970-01-31 17:00:00,2067.8848
H102,1970-01-31 18:00:00,2197.0188
H102,1970-01-31 19:00:00,2302.6912
H102,1970-01-31 20:00:00,2196.3071
H102,1970-01-31 21:00:00,2326.4277
H102,1970-01-31 22:00:00,2370.843
H102,1970-01-31 23:00:00,2355.3635
H102,1970-02-01 00:00:00,2360.837
H102,1970-02-01 01:00:00,2405.5024
H102,1970-02-01 02:00:00,2404.678
H102,1970-02-01 03:00:00,2345.148
H103,1970-01-30 04:00:00,103403.93
H103,1970-01-30 05:00:00,96875.32
H103,1970-01-30 06:00:00,91761.15
H103,1970-01-30 07:00:00,88509.46
H103,1970-01-30 08:00:00,85938.07
H103,1970-01-30 09:00:00,85458.4
H103,1970-01-30 10:00:00,87416.516
H103,1970-01-30 11:00:00,90525.63
H103,1970-01-30 12:00:00,93219.18
H103,1970-01-30 13:00:00,98740.72
H103,1970-01-30 14:00:00,104154.96
H103,1970-01-30 15:00:00,110200.89
H103,1970-01-30 16:00:00,115338.12
H103,1970-01-30 17:00:00,119530.625
H103,1970-01-30 18:00:00,123433.03
H103,1970-01-30 19:00:00,125438.055
H103,1970-01-30 20:00:00,126588.62
H103,1970-01-30 21:00:00,127365.21
H103,1970-01-30 22:00:00,127623.05
H103,1970-01-30 23:00:00,125811.42
H103,1970-01-31 00:00:00,121346.7
H103,1970-01-31 01:00:00,117279.8
H103,1970-01-31 02:00:00,114326.89
H103,1970-01-31 03:00:00,107983.16
H103,1970-01-31 04:00:00,101734.75
H103,1970-01-31 05:00:00,95530.61
H103,1970-01-31 06:00:00,90418.72
H103,1970-01-31 07:00:00,87015.17
H103,1970-01-31 08:00:00,84479.4
H103,1970-01-31 09:00:00,84003.47
H103,1970-01-31 10:00:00,85766.85
H103,1970-01-31 11:00:00,88646.78
H103,1970-01-31 12:00:00,91954.64
H103,1970-01-31 13:00:00,97439.484
H103,1970-01-31 14:00:00,102948.055
H103,1970-01-31 15:00:00,109671.97
H103,1970-01-31 16:00:00,115269.29
H103,1970-01-31 17:00:00,119905.25
H103,1970-01-31 18:00:00,123860.92
H103,1970-01-31 19:00:00,126456.234
H103,1970-01-31 20:00:00,128220.09
H103,1970-01-31 21:00:00,129060.9
H103,1970-01-31 22:00:00,129056.03
H103,1970-01-31 23:00:00,127325.36
H103,1970-02-01 00:00:00,122747.03
H103,1970-02-01 01:00:00,119016.76
H103,1970-02-01 02:00:00,116034.06
H103,1970-02-01 03:00:00,109517.586
H104,1970-01-30 04:00:00,2308.9702
H104,1970-01-30 05:00:00,2117.6562
H104,1970-01-30 06:00:00,1996.1083
H104,1970-01-30 07:00:00,1885.4252
H104,1970-01-30 08:00:00,1771.234
H104,1970-01-30 09:00:00,1630.9313
H104,1970-01-30 10:00:00,1601.7261
H104,1970-01-30 11:00:00,1571.2766
H104,1970-01-30 12:00:00,1590.2485
H104,1970-01-30 13:00:00,1620.7114
H104,1970-01-30 14:00:00,1596.9424
H104,1970-01-30 15:00:00,1637.7538
H104,1970-01-30 16:00:00,1755.5774
H104,1970-01-30 17:00:00,1947.8833
H104,1970-01-30 18:00:00,2058.387
H104,1970-01-30 19:00:00,2136.134
H104,1970-01-30 20:00:00,2262.0845
H104,1970-01-30 21:00:00,2323.94
H104,1970-01-30 22:00:00,2374.9736
H104,1970-01-30 23:00:00,2416.5188
H104,1970-01-31 00:00:00,2379.3076
H104,1970-01-31 01:00:00,2325.6829
H104,1970-01-31 02:00:00,2267.734
H104,1970-01-31 03:00:00,2283.2844
H104,1970-01-31 04:00:00,2272.278
H104,1970-01-31 05:00:00,2088.785
H104,1970-01-31 06:00:00,1978.6774
H104,1970-01-31 07:00:00,1877.3185
H104,1970-01-31 08:00:00,1769.0043
H104,1970-01-31 09:00:00,1630.9313
H104,1970-01-31 10:00:00,1601.7261
H104,1970-01-31 11:00:00,1571.2766
H104,1970-01-31 12:00:00,1590.2485
H104,1970-01-31 13:00:00,1620.7114
H104,1970-01-31 14:00:00,1596.9424
H104,1970-01-31 15:00:00,1637.7538
H104,1970-01-31 16:00:00,1755.5774
H104,1970-01-31 17:00:00,1947.8833
H104,1970-01-31 18:00:00,2058.387
H104,1970-01-31 19:00:00,2136.134
H104,1970-01-31 20:00:00,2262.0845
H104,1970-01-31 21:00:00,2323.94
H104,1970-01-31 22:00:00,2374.9736
H104,1970-01-31 23:00:00,2416.5188
H104,1970-02-01 00:00:00,2379.3076
H104,1970-02-01 01:00:00,2325.6829
H104,1970-02-01 02:00:00,2267.734
H104,1970-02-01 03:00:00,2283.2844
H105,1970-01-30 04:00:00,2680.8794
H105,1970-01-30 05:00:00,2551.5764
H105,1970-01-30 06:00:00,2488.426
H105,1970-01-30 07:00:00,2153.144
H105,1970-01-30 08:00:00,1959.5514
H105,1970-01-30 09:00:00,1929.8623
H105,1970-01-30 10:00:00,1824.6722
H105,1970-01-30 11:00:00,1779.8269
H105,1970-01-30 12:00:00,1818.2893
H105,1970-01-30 13:00:00,1956.0632
H105,1970-01-30 14:00:00,1768.6554
H105,1970-01-30 15:00:00,1935.4269
H105,1970-01-30 16:00:00,2025.9453
H105,1970-01-30 17:00:00,2132.809
H105,1970-01-30 18:00:00,2239.5908
H105,1970-01-30 19:00:00,2394.3762
H105,1970-01-30 20:00:00,2658.5786
H105,1970-01-30 21:00:00,2684.876
H105,1970-01-30 22:00:00,2740.987
H105,1970-01-30 23:00:00,2754.2766
H105,1970-01-31 00:00:00,2788.0647
H105,1970-01-31 01:00:00,2823.8633
H105,1970-01-31 02:00:00,2800.0098
H105,1970-01-31 03:00:00,2724.5544
H105,1970-01-31 04:00:00,2584.1165
H105,1970-01-31 05:00:00,2502.8345
H105,1970-01-31 06:00:00,2442.9937
H105,1970-01-31 07:00:00,2190.462
H105,1970-01-31 08:00:00,2012.6332
H105,1970-01-31 09:00:00,1962.9498
H105,1970-01-31 10:00:00,1897.9913
H105,1970-01-31 11:00:00,1851.5669
H105,1970-01-31 12:00:00,1895.9739
H105,1970-01-31 13:00:00,2021.7058
H105,1970-01-31 14:00:00,1858.4489
H105,1970-01-31 15:00:00,1995.5913
H105,1970-01-31 16:00:00,2089.5005
H105,1970-01-31 17:00:00,2195.2546
H105,1970-01-31 18:00:00,2312.3757
H105,1970-01-31 19:00:00,2461.681
H105,1970-01-31 20:00:00,2716.3325
H105,1970-01-31 21:00:00,2757.8574
H105,1970-01-31 22:00:00,2813.987
H105,1970-01-31 23:00:00,2831.2983
H105,1970-02-01 00:00:00,2873.3198
H105,1970-02-01 01:00:00,2911.5513
H105,1970-02-01 02:00:00,2874.136
H105,1970-02-01 03:00:00,2803.6887
H106,1970-01-30 04:00:00,3124.5767
H106,1970-01-30 05:00:00,2747.6738
H106,1970-01-30 06:00:00,2503.4866
H106,1970-01-30 07:00:00,2345.5342
H106,1970-01-30 08:00:00,2224.3699
H106,1970-01-30 09:00:00,2191.3442
H106,1970-01-30 10:00:00,2227.538
H106,1970-01-30 11:00:00,2295.4714
H106,1970-01-30 12:00:00,2402.056
H106,1970-01-30 13:00:00,2556.2788
H106,1970-01-30 14:00:00,2892.1516
H106,1970-01-30 15:00:00,3246.7676
H106,1970-01-30 16:00:00,3564.98
H106,1970-01-30 17:00:00,3720.1638
H106,1970-01-30 18:00:00,3819.3013
H106,1970-01-30 19:00:00,3822.0386
H106,1970-01-30 20:00:00,3817.2356
H106,1970-01-30 21:00:00,3810.2112
H106,1970-01-30 22:00:00,3828.9978
H106,1970-01-30 23:00:00,3811.8984
H106,1970-01-31 00:00:00,3802.0898
H106,1970-01-31 01:00:00,3768.4011
H106,1970-01-31 02:00:00,3672.0732
H106,1970-01-31 03:00:00,3383.9207
H106,1970-01-31 04:00:00,3056.5408
H106,1970-01-31 05:00:00,2726.7112
H106,1970-01-31 06:00:00,2496.5884
H106,1970-01-31 07:00:00,2366.0037
H106,1970-01-31 08:00:00,2239.7158
H106,1970-01-31 09:00:00,2211.4333
H106,1970-01-31 10:00:00,2248.445
H106,1970-01-31 11:00:00,2315.7144
H106,1970-01-31 12:00:00,2425.1438
H106,1970-01-31 13:00:00,2552.6375
H106,1970-01-31 14:00:00,2910.3906
H106,1970-01-31 15:00:00,3237.151
H106,1970-01-31 16:00:00,3576.2422
H106,1970-01-31 17:00:00,3729.5044
H106,1970-01-31 18:00:00,3846.7546
H106,1970-01-31 19:00:00,3839.8657
H106,1970-01-31 20:00:00,3822.9905
H106,1970-01-31 21:00:00,3814.9358
H106,1970-01-31 22:00:00,3845.263
H106,1970-01-31 23:00:00,3824.739
H106,1970-02-01 00:00:00,3807.6274
H106,1970-02-01 01:00:00,3775.0112
H106,1970-02-01 02:00:00,3665.552
H106,1970-02-01 03:00:00,3400.267
H107,1970-01-30 04:00:00,3635.5076
H107,1970-01-30 05:00:00,3352.2542
H107,1970-01-30 06:00:00,3145.9585
H107,1970-01-30 07:00:00,3002.749
H107,1970-01-30 08:00:00,2913.6145
H107,1970-01-30 09:00:00,2873.1772
H107,1970-01-30 10:00:00,2912.3608
H107,1970-01-30 11:00:00,3015.88
H107,1970-01-30 12:00:00,3110.1797
H107,1970-01-30 13:00:00,3286.9253
H107,1970-01-30 14:00:00,3540.0625
H107,1970-01-30 15:00:00,3817.0383
H107,1970-01-30 16:00:00,4042.6511
H107,1970-01-30 17:00:00,4253.0493
H107,1970-01-30 18:00:00,4417.7466
H107,1970-01-30 19:00:00,4536.427
H107,1970-01-30 20:00:00,4598.6543
H107,1970-01-30 21:00:00,4620.5737
H107,1970-01-30 22:00:00,4571.8022
H107,1970-01-30 23:00:00,4465.729
H107,1970-01-31 00:00:00,4301.1465
H107,1970-01-31 01:00:00,4159.493
H107,1970-01-31 02:00:00,4054.3523
H107,1970-01-31 03:00:00,3808.759
H107,1970-01-31 04:00:00,3539.667
H107,1970-01-31 05:00:00,3276.4736
H107,1970-01-31 06:00:00,3090.332
H107,1970-01-31 07:00:00,2963.2954
H107,1970-01-31 08:00:00,2881.6628
H107,1970-01-31 09:00:00,2847.847
H107,1970-01-31 10:00:00,2888.7903
H107,1970-01-31 11:00:00,2987.0364
H107,1970-01-31 12:00:00,3087.9006
H107,1970-01-31 13:00:00,3271.212
H107,1970-01-31 14:00:00,3529.7751
H107,1970-01-31 15:00:00,3803.8972
H107,1970-01-31 16:00:00,4033.0144
H107,1970-01-31 17:00:00,4236.3145
H107,1970-01-31 18:00:00,4397.8223
H107,1970-01-31 19:00:00,4511.3345
H107,1970-01-31 20:00:00,4567.0005
H107,1970-01-31 21:00:00,4582.464
H107,1970-01-31 22:00:00,4531.0835
H107,1970-01-31 23:00:00,4422.174
H107,1970-02-01 00:00:00,4270.3174
H107,1970-02-01 01:00:00,4127.791
H107,1970-02-01 02:00:00,4024.1284
H107,1970-02-01 03:00:00,3783.444
H108,1970-01-30 04:00:00,520.5233
H108,1970-01-30 05:00:00,475.40588
H108,1970-01-30 06:00:00,422.16843
H108,1970-01-30 07:00:00,329.76685
H108,1970-01-30 08:00:00,272.8508
H108,1970-01-30 09:00:00,251.97176
H108,1970-01-30 10:00:00,241.4609
H108,1970-01-30 11:00:00,243.84828
H108,1970-01-30 12:00:00,230.14514
H108,1970-01-30 13:00:00,247.12094
H108,1970-01-30 14:00:00,262.6668
H108,1970-01-30 15:00:00,367.46835
H108,1970-01-30 16:00:00,458.24765
H108,1970-01-30 17:00:00,500.75137
H108,1970-01-30 18:00:00,543.7646
H108,1970-01-30 19:00:00,578.7812
H108,1970-01-30 20:00:00,568.0935
H108,1970-01-30 21:00:00,578.40027
H108,1970-01-30 22:00:00,581.5098
H108,1970-01-30 23:00:00,600.34546
H108,1970-01-31 00:00:00,604.52325
H108,1970-01-31 01:00:00,620.1939
H108,1970-01-31 02:00:00,555.8299
H108,1970-01-31 03:00:00,485.1934
H108,1970-01-31 04:00:00,494.0075
H108,1970-01-31 05:00:00,458.39035
H108,1970-01-31 06:00:00,410.03735
H108,1970-01-31 07:00:00,321.90836
H108,1970-01-31 08:00:00,267.2963
H108,1970-01-31 09:00:00,248.34532
H108,1970-01-31 10:00:00,238.91592
H108,1970-01-31 11:00:00,242.1759
H108,1970-01-31 12:00:00,228.97841
H108,1970-01-31 13:00:00,246.35013
H108,1970-01-31 14:00:00,262.13165
H108,1970-01-31 15:00:00,367.11322
H108,1970-01-31 16:00:00,458.00214
H108,1970-01-31 17:00:00,500.58783
H108,1970-01-31 18:00:00,543.65186
