unique_id,ds,y_hat
H1,1970-01-30 04:00:00,547.2117
H1,1970-01-30 05:00:00,509.7154
H1,1970-01-30 06:00:00,483.36713
H1,1970-01-30 07:00:00,465.79456
H1,1970-01-30 08:00:00,458.63367
H1,1970-01-30 09:00:00,459.66815
H1,1970-01-30 10:00:00,475.49072
H1,1970-01-30 11:00:00,485.8823
H1,1970-01-30 12:00:00,526.23236
H1,1970-01-30 13:00:00,583.7363
H1,1970-01-30 14:00:00,654.2913
H1,1970-01-30 15:00:00,724.55774
H1,1970-01-30 16:00:00,777.1116
H1,1970-01-30 17:00:00,806.3528
H1,1970-01-30 18:00:00,826.4146
H1,1970-01-30 19:00:00,839.97156
H1,1970-01-30 20:00:00,847.38184
H1,1970-01-30 21:00:00,851.6942
H1,1970-01-30 22:00:00,846.80176
H1,1970-01-30 23:00:00,827.5482
H1,1970-01-31 00:00:00,789.68445
H1,1970-01-31 01:00:00,758.5585
H1,1970-01-31 02:00:00,683.69403
H1,1970-01-31 03:00:00,605.26117
H1,1970-01-31 04:00:00,536.6858
H1,1970-01-31 05:00:00,497.7573
H1,1970-01-31 06:00:00,469.87958
H1,1970-01-31 07:00:00,452.47217
H1,1970-01-31 08:00:00,444.14038
H1,1970-01-31 09:00:00,444.1808
H1,1970-01-31 10:00:00,459.09753
H1,1970-01-31 11:00:00,468.21167
H1,1970-01-31 12:00:00,506.463
H1,1970-01-31 13:00:00,561.028
H1,1970-01-31 14:00:00,627.49725
H1,1970-01-31 15:00:00,700.0317
H1,1970-01-31 16:00:00,768.2408
H1,1970-01-31 17:00:00,813.5132
H1,1970-01-31 18:00:00,840.2774
H1,1970-01-31 19:00:00,853.0147
H1,1970-01-31 20:00:00,855.78973
H1,1970-01-31 21:00:00,855.73975
H1,1970-01-31 22:00:00,847.6057
H1,1970-01-31 23:00:00,827.70404
H1,1970-02-01 00:00:00,789.1751
H1,1970-02-01 01:00:00,758.2639
H1,1970-02-01 02:00:00,682.92883
H1,1970-02-01 03:00:00,657.3351993617022
H10,1970-01-30 04:00:00,423.8346
H10,1970-01-30 05:00:00,413.48703
H10,1970-01-30 06:00:00,394.22363
