unique_id,ds,y_hat
H1,1970-01-23 04:00:00,640.788
H1,1970-01-23 05:00:00,573.379
H1,1970-01-23 06:00:00,527.94617
H1,1970-01-23 07:00:00,492.67783
H1,1970-01-23 08:00:00,468.57578
H1,1970-01-23 09:00:00,454.1186
H1,1970-01-23 10:00:00,452.34564
H1,1970-01-23 11:00:00,462.48187
H1,1970-01-23 12:00:00,475.16714
H1,1970-01-23 13:00:00,513.8799
H1,1970-01-23 14:00:00,578.025
H1,1970-01-23 15:00:00,648.6147
H1,1970-01-23 16:00:00,723.15375
H1,1970-01-23 17:00:00,785.0128
H1,1970-01-23 18:00:00,831.73016
H1,1970-01-23 19:00:00,859.46643
H1,1970-01-23 20:00:00,868.7878
H1,1970-01-23 21:00:00,869.9524
H1,1970-01-23 22:00:00,857.25116
H1,1970-01-23 23:00:00,838.178
H1,1970-01-24 00:00:00,809.11646
H1,1970-01-24 01:00:00,768.5136
H1,1970-01-24 02:00:00,752.28156
H1,1970-01-24 03:00:00,701.2164
H1,1970-01-24 04:00:00,638.12885
H1,1970-01-24 05:00:00,570.732
H1,1970-01-24 06:00:00,528.10126
H1,1970-01-24 07:00:00,494.48886
H1,1970-01-24 08:00:00,470.88516
H1,1970-01-24 09:00:00,456.50677
H1,1970-01-24 10:00:00,456.5904
H1,1970-01-24 11:00:00,466.42026
H1,1970-01-24 12:00:00,479.82053
H1,1970-01-24 13:00:00,517.9254
H1,1970-01-24 14:00:00,581.85834
H1,1970-01-24 15:00:00,652.1916
H1,1970-01-24 16:00:00,726.706
H1,1970-01-24 17:00:00,788.0475
H1,1970-01-24 18:00:00,834.4288
H1,1970-01-24 19:00:00,861.73035
H1,1970-01-24 20:00:00,869.63477
H1,1970-01-24 21:00:00,868.73895
H1,1970-01-24 22:00:00,855.3126
H1,1970-01-24 23:00:00,835.18994
H1,1970-01-25 00:00:00,805.7207
H1,1970-01-25 01:00:00,765.9007
H1,1970-01-25 02:00:00,748.6954
H1,1970-01-25 03:00:00,697.36
H1,1970-01-25 04:00:00,635.13055
H1,1970-01-25 05:00:00,568.2309
H1,1970-01-25 06:00:00,525.95905
H1,1970-01-25 07:00:00,493.08246
H1,1970-01-25 08:00:00,469.80325
H1,1970-01-25 09:00:00,456.8242
H1,1970-01-25 10:00:00,456.7887
H1,1970-01-25 11:00:00,467.51974
H1,1970-01-25 12:00:00,481.03204
H1,1970-01-25 13:00:00,519.19977
H1,1970-01-25 14:00:00,582.2259
H1,1970-01-25 15:00:00,652.3929
H1,1970-01-25 16:00:00,726.5098
H1,1970-01-25 17:00:00,789.1324
H1,1970-01-25 18:00:00,835.9004
H1,1970-01-25 19:00:00,863.5915
H1,1970-01-25 20:00:00,870.9678
H1,1970-01-25 21:00:00,870.3825
H1,1970-01-25 22:00:00,855.3819
H1,1970-01-25 23:00:00,834.98236
H1,1970-01-26 00:00:00,805.8785
H1,1970-01-26 01:00:00,765.7491
H1,1970-01-26 02:00:00,749.1821
H1,1970-01-26 03:00:00,697.75507
H1,1970-01-26 04:00:00,635.58105
H1,1970-01-26 05:00:00,568.65497
H1,1970-01-26 06:00:00,526.04944
H1,1970-01-26 07:00:00,492.94925
H1,1970-01-26 08:00:00,469.59756
H1,1970-01-26 09:00:00,456.53918
H1,1970-01-26 10:00:00,456.30057
H1,1970-01-26 11:00:00,467.02075
H1,1970-01-26 12:00:00,480.44687
H1,1970-01-26 13:00:00,518.67993
H1,1970-01-26 14:00:00,581.7756
H1,1970-01-26 15:00:00,651.97986
H1,1970-01-26 16:00:00,726.11957
H1,1970-01-26 17:00:00,788.7359
H1,1970-01-26 18:00:00,835.5223
H1,1970-01-26 19:00:00,863.24274
H1,1970-01-26 20:00:00,870.80524
H1,1970-01-26 21:00:00,870.43646
H1,1970-01-26 22:00:00,855.5968
H1,1970-01-26 23:00:00,835.3294
H1,1970-01-27 00:00:00,806.2531
H1,1970-01-27 01:00:00,766.051
H1,1970-01-27 02:00:00,749.5616
H1,1970-01-27 03:00:00,698.16956
H1,1970-01-27 04:00:00,635.8961
H1,1970-01-27 05:00:00,568.91534
H1,1970-01-27 06:00:00,526.2862
H1,1970-01-27 07:00:00,493.11438
H1,1970-01-27 08:00:00,469.7298
H1,1970-01-27 09:00:00,456.51776
H1,1970-01-27 10:00:00,456.3028
H1,1970-01-27 11:00:00,466.922
H1,1970-01-27 12:00:00,480.33984
H1,1970-01-27 13:00:00,518.56256
H1,1970-01-27 14:00:00,581.75684
H1,1970-01-27 15:00:00,651.97797
H1,1970-01-27 16:00:00,726.1613
H1,1970-01-27 17:00:00,788.63367
H1,1970-01-27 18:00:00,835.37555
H1,1970-01-27 19:00:00,863.05066
H1,1970-01-27 20:00:00,870.66327
H1,1970-01-27 21:00:00,870.2486
H1,1970-01-27 22:00:00,855.5782
H1,1970-01-27 23:00:00,835.3353
H1,1970-01-28 00:00:00,806.21643
H1,1970-01-28 01:00:00,766.0529
H1,1970-01-28 02:00:00,749.4877
H1,1970-01-28 03:00:00,698.1042
H1,1970-01-28 04:00:00,635.82947
H1,1970-01-28 05:00:00,568.8545
H1,1970-01-28 06:00:00,526.2641
H1,1970-01-28 07:00:00,493.1211
H1,1970-01-28 08:00:00,469.7463
H1,1970-01-28 09:00:00,456.55096
H1,1970-01-28 10:00:00,456.35767
H1,1970-01-28 11:00:00,466.9832
H1,1970-01-28 12:00:00,480.41116
H1,1970-01-28 13:00:00,518.627
H1,1970-01-28 14:00:00,581.8085
H1,1970-01-28 15:00:00,652.0246
H1,1970-01-28 16:00:00,726.2031
H1,1970-01-28 17:00:00,788.6835
H1,1970-01-28 18:00:00,835.42554
H1,1970-01-28 19:00:00,863.0996
H1,1970-01-28 20:00:00,870.6887
H1,1970-01-28 21:00:00,870.25195
H1,1970-01-28 22:00:00,855.5549
H1,1970-01-28 23:00:00,835.29596
H1,1970-01-29 00:00:00,806.1761
H1,1970-01-29 01:00:00,766.0188
H1,1970-01-29 02:00:00,749.4486
H1,1970-01-29 03:00:00,698.0608
H1,1970-01-29 04:00:00,635.79736
H1,1970-01-29 05:00:00,568.8282
H1,1970-01-29 06:00:00,526.2385
H1,1970-01-29 07:00:00,493.10214
H1,1970-01-29 08:00:00,469.7306
H1,1970-01-29 09:00:00,456.5517
H1,1970-01-29 10:00:00,456.35464
H1,1970-01-29 11:00:00,466.99124
H1,1970-01-29 12:00:00,480.41962
H1,1970-01-29 13:00:00,518.63696
H1,1970-01-29 14:00:00,581.808
H1,1970-01-29 15:00:00,652.02246
H1,1970-01-29 16:00:00,726.19635
H1,1970-01-29 17:00:00,788.69244
H1,1970-01-29 18:00:00,835.4395
H1,1970-01-29 19:00:00,863.1188
H1,1970-01-29 20:00:00,870.7034
H1,1970-01-29 21:00:00,870.27295
H1,1970-01-29 22:00:00,855.55817
H1,1970-01-29 23:00:00,835.29724
H1,1970-01-30 00:00:00,806.18225
H1,1970-01-30 01:00:00,766.0203
H1,1970-01-30 02:00:00,749.4589
H1,1970-01-30 03:00:00,698.0703
H10,1970-01-23 04:00:00,450.46426
H10,1970-01-23 05:00:00,445.7765
H10,1970-01-23 06:00:00,435.23822
H10,1970-01-23 07:00:00,419.31332
H10,1970-01-23 08:00:00,408.15005
H10,1970-01-23 09:00:00,401.71417
H10,1970-01-23 10:00:00,396.6978
H10,1970-01-23 11:00:00,396.29593
H10,1970-01-23 12:00:00,395.81818
H10,1970-01-23 13:00:00,401.74738
H10,1970-01-23 14:00:00,411.388
H10,1970-01-23 15:00:00,423.3234
H10,1970-01-23 16:00:00,436.10324
H10,1970-01-23 17:00:00,444.06085
H10,1970-01-23 18:00:00,453.1311
H10,1970-01-23 19:00:00,459.4681
H10,1970-01-23 20:00:00,465.85983
H10,1970-01-23 21:00:00,470.9578
H10,1970-01-23 22:00:00,467.7175
H10,1970-01-23 23:00:00,474.83438
H10,1970-01-24 00:00:00,481.83734
H10,1970-01-24 01:00:00,479.08194
H10,1970-01-24 02:00:00,468.59125
H10,1970-01-24 03:00:00,467.6512
H10,1970-01-24 04:00:00,459.46274
H10,1970-01-24 05:00:00,452.6301
H10,1970-01-24 06:00:00,440.2446
H10,1970-01-24 07:00:00,423.4491
H10,1970-01-24 08:00:00,411.11874
H10,1970-01-24 09:00:00,404.202
H10,1970-01-24 10:00:00,398.4415
H10,1970-01-24 11:00:00,397.92346
H10,1970-01-24 12:00:00,397.16272
H10,1970-01-24 13:00:00,402.57837
H10,1970-01-24 14:00:00,412.2091
H10,1970-01-24 15:00:00,424.60922
H10,1970-01-24 16:00:00,436.7061
H10,1970-01-24 17:00:00,445.2685
H10,1970-01-24 18:00:00,453.92688
H10,1970-01-24 19:00:00,460.16888
H10,1970-01-24 20:00:00,466.3234
H10,1970-01-24 21:00:00,471.83908
H10,1970-01-24 22:00:00,469.18802
H10,1970-01-24 23:00:00,476.42804
H10,1970-01-25 00:00:00,482.71527
H10,1970-01-25 01:00:00,480.06113
H10,1970-01-25 02:00:00,468.7462
H10,1970-01-25 03:00:00,468.011
H10,1970-01-25 04:00:00,459.0952
H10,1970-01-25 05:00:00,452.1003
H10,1970-01-25 06:00:00,439.40698
H10,1970-01-25 07:00:00,422.53
H10,1970-01-25 08:00:00,410.38828
H10,1970-01-25 09:00:00,403.4299
H10,1970-01-25 10:00:00,398.04984
H10,1970-01-25 11:00:00,397.24023
H10,1970-01-25 12:00:00,397.00497
H10,1970-01-25 13:00:00,402.5676
H10,1970-01-25 14:00:00,412.35422
H10,1970-01-25 15:00:00,424.05344
H10,1970-01-25 16:00:00,436.55115
H10,1970-01-25 17:00:00,444.4034
H10,1970-01-25 18:00:00,452.9591
H10,1970-01-25 19:00:00,459.28143
H10,1970-01-25 20:00:00,465.1738
H10,1970-01-25 21:00:00,470.3153
H10,1970-01-25 22:00:00,468.2353
H10,1970-01-25 23:00:00,473.85516
H10,1970-01-26 00:00:00,481.2054
H10,1970-01-26 01:00:00,478.51843
H10,1970-01-26 02:00:00,468.55682
H10,1970-01-26 03:00:00,466.6615
H10,1970-01-26 04:00:00,458.0838
H10,1970-01-26 05:00:00,451.34192
H10,1970-01-26 06:00:00,438.87454
H10,1970-01-26 07:00:00,422.10098
H10,1970-01-26 08:00:00,410.0837
H10,1970-01-26 09:00:00,403.1823
H10,1970-01-26 10:00:00,397.86917
