unique_id,ds,y_hat
H1,1970-01-30 04:00:00,623.7289
H1,1970-01-30 05:00:00,593.21106
H1,1970-01-30 06:00:00,579.4463
H1,1970-01-30 07:00:00,574.5005
H1,1970-01-30 08:00:00,573.1142
H1,1970-01-30 09:00:00,573.18256
H1,1970-01-30 10:00:00,573.84186
H1,1970-01-30 11:00:00,574.8246
H1,1970-01-30 12:00:00,576.68146
H1,1970-01-30 13:00:00,582.17377
H1,1970-01-30 14:00:00,596.2029
H1,1970-01-30 15:00:00,620.8917
H1,1970-01-30 16:00:00,643.4739
H1,1970-01-30 17:00:00,653.3664
H1,1970-01-30 18:00:00,656.9803
H1,1970-01-30 19:00:00,658.6606
H1,1970-01-30 20:00:00,659.76056
H1,1970-01-30 21:00:00,660.6834
H1,1970-01-30 22:00:00,661.55664
H1,1970-01-30 23:00:00,662.4215
H1,1970-01-31 00:00:00,663.29034
H1,1970-01-31 01:00:00,664.16583
H1,1970-01-31 02:00:00,665.04755
H1,1970-01-31 03:00:00,665.93427
H1,1970-01-31 04:00:00,666.8248
H1,1970-01-31 05:00:00,667.71826
H1,1970-01-31 06:00:00,668.6138
H1,1970-01-31 07:00:00,669.5108
H1,1970-01-31 08:00:00,670.40906
H1,1970-01-31 09:00:00,671.3083
H1,1970-01-31 10:00:00,672.2081
H1,1970-01-31 11:00:00,673.10864
H1,1970-01-31 12:00:00,674.0096
H1,1970-01-31 13:00:00,674.91095
H1,1970-01-31 14:00:00,675.8126
H1,1970-01-31 15:00:00,676.71466
H1,1970-01-31 16:00:00,677.6169
H1,1970-01-31 17:00:00,678.5193
H1,1970-01-31 18:00:00,679.4219
H1,1970-01-31 19:00:00,680.32465
H1,1970-01-31 20:00:00,681.2275
H1,1970-01-31 21:00:00,682.13025
H1,1970-01-31 22:00:00,683.03296
H1,1970-01-31 23:00:00,683.93567
H1,1970-02-01 00:00:00,684.83826
H1,1970-02-01 01:00:00,685.74066
H1,1970-02-01 02:00:00,686.64294
H1,1970-02-01 03:00:00,687.5449
H10,1970-01-30 04:00:00,434.52084
H10,1970-01-30 05:00:00,433.4885
H10,1970-01-30 06:00:00,432.73163
H10,1970-01-30 07:00:00,432.1882
H10,1970-01-30 08:00:00,431.93115
H10,1970-01-30 09:00:00,431.86682
H10,1970-01-30 10:00:00,431.89804
H10,1970-01-30 11:00:00,431.97617
H10,1970-01-30 12:00:00,432.0794
H10,1970-01-30 13:00:00,432.1973
H10,1970-01-30 14:00:00,432.32428
H10,1970-01-30 15:00:00,432.45724
H10,1970-01-30 16:00:00,432.5944
H10,1970-01-30 17:00:00,432.7345
H10,1970-01-30 18:00:00,432.87692
H10,1970-01-30 19:00:00,433.02115
H10,1970-01-30 20:00:00,433.1669
H10,1970-01-30 21:00:00,433.31393
H10,1970-01-30 22:00:00,433.46216
H10,1970-01-30 23:00:00,433.61142
H10,1970-01-31 00:00:00,433.76172
H10,1970-01-31 01:00:00,433.91293
H10,1970-01-31 02:00:00,434.0651
H10,1970-01-31 03:00:00,434.2181
H10,1970-01-31 04:00:00,434.37198
H10,1970-01-31 05:00:00,434.5267
H10,1970-01-31 06:00:00,434.68222
H10,1970-01-31 07:00:00,434.83856
H10,1970-01-31 08:00:00,434.9957
H10,1970-01-31 09:00:00,435.1536
H10,1970-01-31 10:00:00,435.31226
H10,1970-01-31 11:00:00,435.47165
H10,1970-01-31 12:00:00,435.63177
H10,1970-01-31 13:00:00,435.7926
H10,1970-01-31 14:00:00,435.95416
H10,1970-01-31 15:00:00,436.11642
H10,1970-01-31 16:00:00,436.27933
H10,1970-01-31 17:00:00,436.44278
H10,1970-01-31 18:00:00,436.6067
H10,1970-01-31 19:00:00,436.77103
H10,1970-01-31 20:00:00,436.9358
H10,1970-01-31 21:00:00,437.10098
H10,1970-01-31 22:00:00,437.26657
H10,1970-01-31 23:00:00,437.43253
H10,1970-02-01 00:00:00,437.59888
H10,1970-02-01 01:00:00,437.76556
H10,1970-02-01 02:00:00,437.93262
H10,1970-02-01 03:00:00,438.09998
H100,1970-01-30 04:00:00,810.83777
H100,1970-01-30 05:00:00,808.0127
