unique_id,ds,y_hat
H1,1970-01-30 04:00:00,755.1873
H1,1970-01-30 05:00:00,725.16595
H1,1970-01-30 06:00:00,703.5915
H1,1970-01-30 07:00:00,650.84937
H1,1970-01-30 08:00:00,601.89606
H1,1970-01-30 09:00:00,544.38184
H1,1970-01-30 10:00:00,479.5717
H1,1970-01-30 11:00:00,469.22937
H1,1970-01-30 12:00:00,455.239
H1,1970-01-30 13:00:00,426.3205
H1,1970-01-30 14:00:00,448.66016
H1,1970-01-30 15:00:00,439.29507
H1,1970-01-30 16:00:00,453.62228
H1,1970-01-30 17:00:00,490.04153
H1,1970-01-30 18:00:00,567.121
H1,1970-01-30 19:00:00,621.27844
H1,1970-01-30 20:00:00,692.459
H1,1970-01-30 21:00:00,750.14557
H1,1970-01-30 22:00:00,806.15985
H1,1970-01-30 23:00:00,849.8444
H1,1970-01-31 00:00:00,855.9416
H1,1970-01-31 01:00:00,862.47424
H1,1970-01-31 02:00:00,854.7251
H1,1970-01-31 03:00:00,835.18414
H1,1970-01-31 04:00:00,832.2891
H1,1970-01-31 05:00:00,763.6092
H1,1970-01-31 06:00:00,739.59436
H1,1970-01-31 07:00:00,713.5951
H1,1970-01-31 08:00:00,635.05286
H1,1970-01-31 09:00:00,566.0918
H1,1970-01-31 10:00:00,507.9013
H1,1970-01-31 11:00:00,467.99426
H1,1970-01-31 12:00:00,462.22922
H1,1970-01-31 13:00:00,431.2564
H1,1970-01-31 14:00:00,443.75766
H1,1970-01-31 15:00:00,435.9621
H1,1970-01-31 16:00:00,443.2763
H1,1970-01-31 17:00:00,513.6347
H1,1970-01-31 18:00:00,556.55383
H1,1970-01-31 19:00:00,644.4031
H1,1970-01-31 20:00:00,717.79456
H1,1970-01-31 21:00:00,773.6722
H1,1970-01-31 22:00:00,810.0471
H1,1970-01-31 23:00:00,848.7357
H1,1970-02-01 00:00:00,842.80865
H1,1970-02-01 01:00:00,878.23065
H1,1970-02-01 02:00:00,864.3653
H1,1970-02-01 03:00:00,885.67145
H10,1970-01-30 04:00:00,445.2671
H10,1970-01-30 05:00:00,480.18765
H10,1970-01-30 06:00:00,448.08215
H10,1970-01-30 07:00:00,456.904
H10,1970-01-30 08:00:00,450.6725
H10,1970-01-30 09:00:00,447.3194
H10,1970-01-30 10:00:00,447.23822
H10,1970-01-30 11:00:00,420.7926
H10,1970-01-30 12:00:00,408.59473
